year,month,day,temp
2010,01,01,31.0
2010,01,02,30.7
2010,01,03,30.5
2010,01,04,24.0
2010,01,05,25.9
2010,01,06,25.1
2010,01,07,23.6
2010,01,08,22.2
2010,01,09,26.5
2010,01,10,28.9
2010,01,11,29.7
2010,01,12,29.9
2010,01,13,32.5
2010,01,14,37.0
2010,01,15,35.0
2010,01,16,38.8
2010,01,17,44.4
2010,01,18,38.5
2010,01,19,33.6
2010,01,20,34.8
2010,01,21,39.1
2010,01,22,40.3
2010,01,23,38.0
2010,01,24,38.8
2010,01,25,37.3
2010,01,26,29.9
2010,01,27,28.4
2010,01,28,37.9
2010,01,29,37.7
2010,01,30,30.9
2010,01,31,32.5
2010,02,01,33.1
2010,02,02,37.5
2010,02,03,45.6
2010,02,04,42.9
2010,02,05,45.4
2010,02,06,42.1
2010,02,07,38.6
2010,02,08,36.2
2010,02,09,28.9
2010,02,10,26.8
2010,02,11,26.1
2010,02,12,26.4
2010,02,13,25.9
2010,02,14,29.4
2010,02,15,30.3
2010,02,16,29.8
2010,02,17,35.0
2010,02,18,36.6
2010,02,19,37.8
2010,02,20,34.1
2010,02,21,38.8
2010,02,22,47.4
2010,02,23,49.3
2010,02,24,46.3
2010,02,25,47.9
2010,02,26,45.3
2010,02,27,45.3
2010,02,28,45.6
2010,03,01,41.6
2010,03,02,44.2
2010,03,03,41.6
2010,03,04,39.0
2010,03,05,34.2
2010,03,06,35.7
2010,03,07,31.1
2010,03,08,33.1
2010,03,09,32.2
2010,03,10,35.8
2010,03,11,34.1
2010,03,12,35.7
2010,03,13,40.4
2010,03,14,41.1
2010,03,15,43.4
2010,03,16,44.4
2010,03,17,49.6
2010,03,18,55.3
2010,03,19,57.3
2010,03,20,56.0
2010,03,21,48.8
2010,03,22,49.2
2010,03,23,49.9
2010,03,24,56.8
2010,03,25,54.6
2010,03,26,48.2
2010,03,27,47.7
2010,03,28,49.6
2010,03,29,54.5
2010,03,30,47.1
2010,03,31,43.4
2010,04,01,43.2
2010,04,02,43.7
2010,04,03,45.6
2010,04,04,44.2
2010,04,05,44.7
2010,04,06,52.3
2010,04,07,53.8
2010,04,08,49.4
2010,04,09,50.0
2010,04,10,53.3
2010,04,11,46.7
2010,04,12,46.4
2010,04,13,49.3
2010,04,14,48.9
2010,04,15,54.2
2010,04,16,51.9
2010,04,17,59.1
2010,04,18,50.1
2010,04,19,58.5
2010,04,20,52.8
2010,04,21,50.3
2010,04,22,50.6
2010,04,23,53.6
2010,04,24,60.2
